Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"AMETEK, Inc.","AME",".63757",".16",".36","10.88099",".63","33.06061","789.17999","681.46997","796.71997","894.73999","1077.95996","4300.17","8.8317","14.52","5.3231",".57295","1.69",".45","31.09799","18.16","4027.62988","0","1866.16003","1138.66003","1934.65002","5128.97998","540.5","668.16998","8.32","12.06999","82.39","59.14","75.33","231.58","Electronics - Testing Equipment","Computer and Technology","NYSE",".74","24.12","17444.85","78.79","1.27",".78","20180301","11.08","16.64","4.15","2.41","27","3.4","11.98","19.68","4.24","2.79","20171231","YES"
"Affiliated Managers Group, Inc.","AMG",".27193",".3",".8","",".11","45.83333","931.09997","689.5","1067.09997","1167.90002","1274.59997","2305","9.0193","36.09","0",".27419","1.3",".42","38.79299","81.43","4578.5","0","1045.69995","1616.19995","951.09997","4112.20019","0","511.6","9.9","12.017","29.8","149.51","169.25","54.31","Financial - Investment Management","Finance","NYSE",".71","10.22","9192.84","215.76","1.53","3.92","20180301","12.67","19.27","2.09",".75","11.03",".45","5.03","13.4","9.31","15.34","20171231","YES"
"Amgen Inc.","AMGN","4.81208",".09","4.59999","24.65099","2.2","-74.37193","11201","1979","9597","10901","12856","22849","10.781","40.89","1.37639",".29499","3.88","2.14","68.108","23.61","25241","0","34190","9020","49476","23370","2834","3237","12.06","13.46899","48.09","153.02","174.65","661.71","Medical - Biomedical and Genetics","Medical","NSDQ","3.02","12.74","115566.95","198","1.36","3.47","20180301","15.65","35.8","7.4","2.12","13.54","5.96","-.62","9","14.92","12.9","20171231","YES"
"Ameriprise Financial, Inc.","AMP",".21022",".12","3.24","12.15799","2.32","12.63318","2156.56005","1480","2214","3077","3311","12027","1.1516","16.7","",".08466",".67",".87","46.39699","40.38","5998","0","5099","12463","8405","0","0","5785","1.41","10.982","33.73","120.79","141.45","144.61","Financial - Investment Management","Finance","NYSE","2.55","9.8","20455.48","182.04","1.86","3.7","20180301","18.28","33.67","3.5","","10.64","1.48","2.83","17.66","12.95","13.29","20171231","YES"
"American Tower Corporation (REIT)","AMT",".98303",".19","2.61999","23.84499","1.75","29.53784","2974.80004","1238.90002","1256.09997","2005.69995","3741.60009","6663.9","3.4175","17.51","",".20566",".83","2.68","72.79","15.72","6828.10009","0","19430.30078","1938.90002","2419.60009","17421.69921","0","513.59997","3.6","4.06759","35.85","127.98","136.85","441.66","REIT and Equity Trust - Other","Finance","NYSE","2.19","18.59","60441.04","152.72",".77","1.73","20180301","4.66","17.03","8.71","1.48","20.33","18.79","15.18","15.36","","6.73","20171231","YES"
"Amazon.com, Inc.","AMZN",".53532",".02","0","","0","27.9207","13722","3033","3806","4654","16132","177866","1.3334","1.63","8.72679","1.67729","1.06",".78","43.91899","64.84","27709","0","24743","57883","60197","13350","16047","13164","2.73","3.60719","95.93","938.6","1581.76","485.23","Internet - Commerce","Retail-Wholesale","NSDQ","0","130.72","767512.5","1609.08","1.6","3.27","20180301","6.67","11.77","24.39","4.33","249.1","23.75","30.8","165.93","107.68","6.35","20171231","YES"
"Tesoro Corporation","ANDV",".25834",".04","2.27999","26.42099","2.12","108.17438","1956.23596","1528","1115","1554","2595","34975","5.55259","2.18","9.05949","1.3759","1.41",".64","38.93399","87.04","13415","0","7668","5001","6883","4879","3630","1961","2.99","8.24919","100","81.49","146.81","151.12","Oil and Gas - Refining and Marketing","Oils-Energy","NYSE","1.61","16.19","22186.29","146.81","1.35",".65","20180301","4.08","6.51","1.72","1.62","25.85","-6.67","42.28","40.17","10.02","5.68","20171231","YES"
"ANSYS, Inc.","ANSS","1.449",".24","0","","0","-2.40184","381.00399","259.25","395.69","395.69","463.35998","1095.25","10.826","29.43","",".39094","3","0","0","28.65","2245.83007","0","0","608.54998","1270.26","1536.17004","0","388.47","11.51","13.55399","85.27","119.84","164.58","84.02","Computer - Software","Computer and Technology","NSDQ","0","33.55","13827.5","172.31","1.02","1.2","20180301","14.51","14.51","5.75","","38.19","5.52","10.8","22.32","4.75","4.31","20171231","YES"
"Anthem, Inc.","ANTM","1.17612",".04","2.7","15.97999","1.64","55.59154","4114.60009","3842.80004","3963.80004","4702.7998","5593.20019","90039.4","4.45779","3.75","","1.2847","1.49",".67","40.13499","105.85","26502.90039","0","17382.19921","23356","36262.80078","27599.5996","0","8793.2998","4.82","7.223","67.83","176.12","231.79","255.2","Medical - HMOs","Medical","NYSE","1.29","15.07","59152.64","258.19",".87","5.41","20180301","7.94","12.77","2.19","1.29","18.22","6.59","6.1","27.75","10.72","12.72","20171231","YES"
"Aon plc","AON",".56858",".12","1.40999","18.00499","1.11","-12.17766","2589.89306","1226","685","967","1858","9998","6.05329","19.28","",".40007","1.93","1.06","51.408","22.02","4648","0","5667","2260","3763","10091","0","2478","7.72","14.91899","56.67","125.98","140.94","244.51","Insurance - Brokerage","Finance","NYSE","1.14","17.5","34461.59","152.38","1.04","2.97","20180301","18.99","39.65","6.41","1.42","17.49","-2.6","-14.01","23.55","10.01","8.06","20171231","YES"
"A. O. Smith Corporation","AOS","1.11249",".1",".56","24.30999","1.1","-9.18837","448.39999","296.5","520.79998","530.90002","601","2996.7","10.31499","12.95","6.1704",".98272","2.18",".17","14.33199","9.98","1648.80004","0","402.89999","788.5","1766.80004","825.40002","291.20001","598.40002","12.73","15.92099","68.83","53.02","63.22","171.14","Manufacturing - Electronics","Industrial Products","NYSE","1.14","24.38","10819.53","67.84","1.53",".6","20180301","19.39","23.77","7.06","2.01","27.85","8.29","11.57","19.48","21.35","2.27","20171231","YES"
"Apache Corporation","APA",".78471",".2","1","4.3887","1.69","192.81138","2372","1304","918","918","3198","6423","1.7565","2.94","4.12769",".2851","1.39",".89","47.22399","23.21","8791","0","7934","2564","3725","0","368","1345",".84","2.4416","57.97","34.15","44.01","382.15","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE","2.27","31.81","16818.61","51.16","1.1",".32","20180301","1.11","2.16","1.89","4.54","91.69","-24.47","19.97","476.5","-53.98",".48","20171231","YES"
"Anadarko Petroleum Corporation","APC","1.26292","-.04",".2","-25.36001",".86","85.15141","3214.71997","-456","-1688","-756","3523","11908",".00427","-4.16","",".26221","1.17","1.33","57.09299","22.82","13790","0","15547","3906","6762","5662","0","1829","-1.09",".11158","100","40.52","71.14","515.09","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE","1.41","29.01","36643.38","71.14","1.26",".52","20180301","-1.6","-3.44","3.22","2.9","","-12.04","51.33","225.11","","-.84","20171231","YES"
"Air Products and Chemicals, Inc.","APD","1.5926",".37","3.61999","7.78469","2.47","375.42385","2252.96997","3000.3999","1416.09997","1536.69995","2402.5","8187.6","7.89289","17.52","18.575",".4763","3.08",".32","24.353","48.78","10185.5","0","3402.3999","2489","5876.70019","1089.80004","335.39999","1577.30004","8.34","11.48099","77.57","141.77","166.77","219.19","Chemical - Diversified ","Basic Materials","NYSE","2.64","22.64","36554.93","174","1.22","1.71","20180301","11.22","14.97","3.42","1.39","24.14","-4.75","-14.04","16.76","5.85","6.91","20170930","YES"
"Amphenol Corporation","APH","1.23496",".09",".69999","19.84",".88","-20.95031","1212.90002","650.5","1352.40002","1444.69995","1671.5","7011.3","10.81499","14.6","4.43879",".76651","1.8",".63","38.55199","13.16","4043.3999","0","3541.5","1579.40002","4656","4531.10009","1106.90002","1598.59997","11.19","14.05799","75.77","72.45","88.12","301.44","Electronics - Connectors","Computer and Technology","NYSE",".86","25.08","26562.53","93.13",".84",".83","20180301","14.92","26.65","6.78","2.43","26.07","10.27","11.53","12.64","13.15","3.38","20171231","YES"
"Delphi Automotive PLC","APTV",".5983",".11","1.49329","10.56999","1.4","7.79634","1796","1355","1255","1395","1948","12884","13.439","10.09","7.8884","1.21039","1.6","1.13","52.958","13.97","3517","0","4132","3540","5641","3163","1083","2440","12.21","24.954","72.55","81.21","98.23","264.77","Technology Services","Business Services","NYSE",".9","18.36","26008.27","104.67","1.49","1.29","20180301","20.24","44.95","7.03","1.37","16.54",".12","-22.67","15.28","10.41","5.94","20171231","YES"
"Alexandria Real Estate Equities, Inc.","ARE",".36288",".15","3.45","6.53249","3.35","356.58572","575.453","169.08999","178.38999","307.02999","713.39001","1128.1","1.195","22.13","",".09869",".34",".78","43.712","64.56","6397.27978","74.37999","4764.7998","763.83001","287.44","0","0","10.26","2.18","1.2838","36.86","114.58","121.75","102.98","REIT and Equity Trust - Other","Finance","NYSE","2.96","18.5","12538.13","134.03",".8","1.62","20180301","2.35","4.26","1.89","2.98","19.76","14.74","22.39","9.34","7.68","6.16","20171231","YES"
"Arconic Inc.","ARNC",".89376","-.01",".23999","-8.74241","1.11","92.13602","1888","-74","470","966","2236","12960","2.1293","4.68","4.26809",".70206","2.1","1.21","54.43","10.83","4869","55","6806","2824","6378","5522","2480","1374","3.28","3.35109","8.77","16.93","18.15","482.83","Mining - Non Ferrous","Basic Materials","NYSE","1.32","14.67","8763.4","30.84","1.17",".34","20180301","5.08","11.4","1.68",".73","14.88","-12.15","4.57","1.43","-2.5","1.22","20171231","YES"
"Activision Blizzard, Inc","ATVI","1.51678",".04",".3","12.98099",".8","-71.73913","2794","273","1151","1297","2520","7017","7.74819","24.03","44.25799",".40547","2.19",".45","30.906","12.9","9462","0","4390","3663","6520","10869","46","918","9.75","9.4586","72.65","54.23","71.66","761.21","Toys - Games - Hobbies","Consumer Discretionary","NSDQ",".47","27.29","54547.94","78.22","1.17",".38","20180301","12.34","17.91","5.56","1.85","29.01","12.02","6.19","15.16","20.58","2.47","20171231","YES"
"AvalonBay Communities, Inc.","AVB",".19094",".41","5.67999","7.15789","3.11","-15.1915","1480.73095","876.91998","876.79998","876.79998","1480.60998","2158.63","4.2339","35.62","",".12009",".75",".74","42.39199","74.78","10388.0498","0","7329.47021","351.29998","67.08","0","0","0","4.28","4.414","10.22","153.9","158.52","138.21","REIT and Equity Trust - Residential","Finance","NYSE","3.71","17.87","21908.86","199.1",".35","2.18","20180301","4.45","7.57","2.12","2.44","18.2","10.56","5.54","2.88","8.8","8.71","20171231","YES"
"Broadcom Limited","AVGO","4.71648",".1","4.07999","49.93399","1.66","197.2973","11155.56152","1692","1825","2279","7040","17636","16.839","38.13","7.07149",".36068","5.7","","37.53499","70.85","23186","0","17431","2529","15823","35538","1447","2448","13.75","20.825","23.92","225.25","239.45","410.75","Electronics - Semiconductors","Computer and Technology","NSDQ","2.92","12.29","98354.57","284.62",".95","5.12","20180101","18.02","29.5","3.38",".99","13.68","64.9","33.2","21.66","52.19","17.5","20171031","YES"
"Avery Dennison Corporation","AVY",".2272",".04","1.75999","10.49499","2.31","-12.12973","629.40002","281.79998","589.5","652.5","831.20001","6613.8","7.24139","7.04","7.8611","1.3125","1.12","1.23","55.201","12.38","1046.19995","0","1316.30004","1971.80004","2237.8999","1151.40002","609.59997","1180.30004","9.23","15.644","63.94","82.5","108.19","88.03","Office Supplies","Industrial Products","NYSE","1.66","17.99","9524.06","122.68","1.27","1.44","20180301","20.04","44.21","8.74","2.57","20.26",".95","8.66","20.25","16.66","5.34","20171231","YES"
"American Water Works","AWK",".17505",".13","1.62","9.8624","2.27","-8.97436","1033.16003","426","912","1254","1746","3357","2.7718","16.48","33.518",".17343",".29","1.17","54.01599","30.61","5385","0","6498","2325","720","1379","41","272","2.86","4.3779","29.94","75.25","80.34","178.05","Utility - Water Supply","Utilities","NYSE","2.27","24.54","14304.37","92.25",".15",".59","20180301","4.72","10.2","2.62","3.18","26","3.82","1.67","8.05","8.52","3.09","20171231","YES"
"American Express Company","AXP",".38746",".08","1.30999","10.71","1.43","-49.40829","6626.3999","2736","7414","8747","10068","33471","3.4763","16.12","",".20266","1.9","2.67","72.788","22.8","18227","0","55804","84980","163916","0","0","130989","3.27","7.5366","95.58","76.37","101.22","860.36","Financial - Miscellaneous Services","Finance","NYSE","1.38","14.01","87085.86","102.37","1.13","1.86","20180301","7.87","28.41","4.44","1.37","15.79",".06","4.21","23.09","3.67","6.41","20171231","YES"
"Acuity Brands Inc","AYI",".57197",".09",".51999","0",".34","10.62586","419.05999","321.70001","492.6","525.09997","599.70001","3505.1","10.154","9.57","6.16349","1.24279","2.15",".22","17.89399","38.8","1665.59997","0","356.5","600.90002","1245.59997","1349.69995","328.6","573.29998","11.89","14.35999","8.83","110.22","118.74","42.16","Building Products - Lighting","Construction","NYSE",".44","13.79","5005.88","206.68","1.34","1.89","20180201","16.89","20.56","3.06","1.45","13.92","13.85","6.5","1.91","24.92","8.53","20170831","YES"
"AutoZone, Inc.","AZO",".09408",".12","0","","0","3.21192","1582.35205","1280.85998","1925.47998","2080.06005","2411.47998","10888.68","14.58699","11.97","1.3278","1.20079",".98","-3.79","","-48.83","-1428.37","0","5081.22998","4766.2998","4611.25","391.88","3882.08007","280.73001","14.37","41.998","50.41","493.15","646.3","27.25","Automotive - Retail and Wholesale - Parts","Retail-Wholesale","NYSE","0","13.2","17612.32","796.95",".85","10.38","20180201","37.37","-88.86","",".96","13.76","4.76","2.38","13.75","12.99","46.96","20170831","YES"
"The Boeing Company","BA",".17757",".09","5.67999","28.02499","2.47","67.45658","9417.12695","8197","10047","10477","12546","93392","6.09119","8.64","1.60609",".99035","1.15","8.07","88.971","2.23","412","0","9782","56269","65161","8132","44344","10825","8.55","40.00099","89.05","177.4","344.14","582.58","Aerospace - Defense","Aerospace","NYSE","1.99","23.56","200489.44","364.64","1.39","3.64","20180301","80.8","3774.27","154.46","1.71","25.1","2.14","-1.25","21.32","9.37","13.71","20171231","YES"
"Bank of America Corporation","BAC",".33707",".18",".38999","72.649","1.08","2.30052","25454","18232","29213","40194","44548","100264",".66254","22.52",".24221",".0448",".92",".96","46.59299","23.58","244823","22323","227402","1752386","1590101","71253","11430","987979","1.01","2.9335","80.87","22.23","30.81","10243.69","Banks - Major Regional","Finance","NYSE","1.56","12.06","315608.09","32.84","1.37",".62","20180301","4.64","9.4","1.31","1.51","15.18","-.59","7.05","39.56","26.29","2.03","20171231","YES"
"Baxter International Inc.","BAX","1.41616",".07",".61","-30.404","2.02","-85.55892","2137","717","1217","1272","2033","10561","8.7634","13.44","4.06519",".62844","2.63",".39","28.079","16.98","9116","0","3509","2821","7263","4473","1475","1793","8.44","13.37199","89.54","56.86","70.65","535.49","Medical - Products","Medical","NYSE",".91","24.45","37832.08","72.26",".81",".7","20180301","11.38","15.7","4.2","1.82","27.07","-11.14","3.92","16.5","-19.78","2.61","20171231","YES"
"BB&T Corporation","BBT",".01831",".2","1.25999","9.0024","2.73","-1.31905","3095","2394","3326","3821","4371","12156","1.1561","22.56",".31591",".05589",".87",".88","44.11","34.13","26642","3053","23648","168299","146393","11385","1099","142211","1.26","4.80999","95.83","41.65","55.43","779.75","Banks - Major Regional","Finance","NYSE","2.71","13.91","43221.65","56.03","1.05",".97","20180301","5.33","10.38","1.62","1.22","16.55","3.95","5.36","42.87","1.78","3.35","20171231","YES"
"Best Buy Co., Inc.","BBY",".45682",".02","1.36","19.41399","2.51","-18.56678","2041.01696","1000","1817","1892","2575","42151","6.95179","3.22","5.9559","3.1089","1.26","","18.336","12.36","3612","0","811","7817","9829","425","5209","1049","10.01","17.201","100","50.42","78.78","281.9","Retail - Consumer Electronics","Retail-Wholesale","NYSE","2.28","15.82","22208.42","78.78",".91","2.42","20180101","26.08","32.68","6.38","1.09","17.55","-2.75","6.97","12.67","16","4.49","20180131","YES"
"Becton, Dickinson and Company","BDX","4.50957",".09","2.92","9.61069","1.69","12.70491","3209.10888","1100","976","1497","2585","12093","7.8248","17.95","3.1858",".29221","1.7","1.07","51.643","79.15","12946","2","18667","3342","18633","13456","1818","1744","5.24","10.74199","65.96","181.48","224.22","267.2","Medical - Dental Supplies","Medical","NYSE","1.34","20.4","59912","246.28","1.15","2.65","20180301","6.47","14.27","2.83","1.56","22.44","13.26","-3.12","15.93","13.47","9.99","20170930","YES"
"Franklin Resources, Inc.","BEN","7.84937",".27",".8","19.08099","1.46","-1.73742","1849","1696.69995","2549.10009","2600.60009","2752.8999","6392.2","12.30399","27.29","",".36533","2.46",".1","23.318","19.26","12935.7998","0","1097.59997","1114.69995","9751.5996","2227.69995","0","1001.90002","9.97","13.965","11.32","32.35","34.04","540.21","Financial - Investment Management","Finance","NYSE","2.7","10.73","18388.69","47.28","1.6",".78","20180301","11.59","14.66","1.77","1.49","10.81","-6.64","-3.41","5.43","-4.32","3.15","20170930","YES"
"Brown-Forman Corporation","BF.B","","",".60799","8.93879","1.37","-37.30085","730.86297","669","933","992","1050","3857","15.918","18.83",".78358",".85113","1.78","","59.576","2.5","1370","0","1689","970","2351","1394","1270","557","16.02","23.458","100","37.82","58.92","480.42","Beverages - Alcohol","Consumer Staples","NYSE","1.07","32.52","28306.42","58.92",".86",".44","20180101","24.86","55.27","23.57","","31.01",".71","-3.84","22.58","7.53","1.61","20180430","YES"
"Brighthouse Financial, Inc.","BHF",".05923","-.06","0","","","87.13848","-637","-378","-615","-615","-874","6842","","11.28","",".03454",".45",".26","20.88299","114.16","14580","0","3612","36616","16295","0","0","14126",".39","","1.96","47.58","47.97","119.77","Insurance - Life Insurance","Finance","NSDQ","0","5.66","5745.52","67.46","","2.36","20180301","4.8","5.93",".42",".42","","","126.71","460.11","","","20171231","YES"
"Baker Hughes Incorporated","BHGE",".88737","0",".68999","22.499","1.96","-91.067","1325","36","-160","-29","1074","17259","1.4069",".42","3.91669",".40786","2.05",".17","14.18299","91.48","39173","0","6312","8897","18499","26767","4590","6014",".17","1.82749","33.15","25.94","36.64","416.41","Oil and Gas - Field Services","Oils-Energy","NYSE","1.45","44.87","15257.33","58.22",".72",".09","20180301",".22",".25",".4","5.61","203.56","-15.55","75.38","57.05","-54.53",".18","20171231","YES"
